type,npc_id,name_id,phys_n,phys_b,phys_s,phys_t,mag,fire,thunder,holy,poise,blood,poison,rot,frost,name_en
46674,12602020,904130740,0.98,0.95,0.99,0.98,1.02,1.07,1.02,1.02,65,112,112,112,112,Crashy (Field Boss) (Tier 3)
46681,35600075,903560000,1,0.9,1.1,1,0.8,0.6,0.8,0.6,80,112,154,154,154,Godskin Apostle (Field Boss) (Tier 3)
46682,35700040,903570000,1,0.65,1.1,1,0.8,0.6,0.8,0.6,80,112,154,154,154,Godskin Noble (Field Boss) (Tier 3)
46683,46500360,904650601,0.9,0.9,1,0.9,0.8,0.8,0.6,0.8,120,999,999,999,999,Phantom Dragonkin (Field Boss) (Tier 3)
46691,46900010,904690000,1,1,1.1,1,0.8,0.8,0.8,0.8,80,112,154,154,112,Grafted Scion (Field Boss)
46692,34601960,903460600,0.9,0.9,1,0.9,0.8,1,0.8,0.6,80,154,154,154,154,Misbegotten Crusader (Field Boss) (Tier 2)
46693,34000955,903400302,1,1,1.1,1,1,1.2,1,1,65,84,252,542,112,Putrid Grave Warden Duelist (Field Boss) (Tier 2)
46694,52500200,905250610,0.6,0.6,0.6,1,0.8,0.8,0.8,1,80,112,112,112,112,Divine Bird Warrior (Field Boss) (Tier 2)
46695,62100015,904976000,0.82,0.98,0.62,0.86,0.96,0.55,1.3,1.02,80,252,154,154,84,Corvian Knight (Rapier) (Field Boss) (Tier 2)
46696,by-name:62100000,904976000,0.82,0.98,0.62,0.86,0.96,0.55,1.75,1.02,100,252,154,154,84,Corvian Knight (Claws)
46701,46500210,904650601,0.9,0.9,1,0.9,0.8,0.8,0.6,0.8,120,252,252,252,542,Dragonkin Soldier (Evergaol)
46702,35600020,903560000,1,0.9,1.1,1,0.8,0.6,0.8,0.6,80,112,154,154,154,Godskin Apostle (Evergaol)
46703,35700020,903570000,1,0.65,1.1,1,0.8,0.6,0.8,0.6,80,112,154,154,154,Godskin Noble (Evergaol)
46704,25000030,902500301,0.65,0.65,0.65,0.65,0.6,0.8,0.8,0.6,80,999,252,252,252,Crucible Knight (Evergaol- Sword)
46705,25001020,902500301,0.65,0.65,0.65,0.65,0.6,0.8,0.8,0.6,80,999,252,252,252,Crucible Knight (Evergaol- Treespear)
46706,42600150,902500301,0.65,0.9,0.65,0.65,0.6,0.6,0.6,0.6,80,999,999,999,999,Erdtree Burial Watchdog (Fire) (Field Boss) (Tier 1)
46711,58400610,903800710,0.8,0.8,0.6,1,0.8,0.8,1.4,0.8,65,154,112,112,154,Black Knight Garrew (Field Boss) (Tier 2)
46712,58400700,903800710,0.8,0.8,0.6,1,0.8,0.8,1.4,0.8,65,154,112,112,154,Black Knight Edredd (Field Boss) (Tier 2)
46713,51600120,903800700,0.8,0.8,0.6,1,0.8,0.6,1,1,65,154,112,112,154,Fire Knight (Field Boss) (Tier 2)
46714,40210010,904020540,1,1,1.1,1,1,1,1,0.6,100,154,154,154,154,Royal Revenant (Field Boss)
46721,58100990,905810000,1,1,1.2,1,1,1.2,1,1,65,112,84,84,112,Onze (Field Boss) (Tier 2)
46722,50400180,905040000,1,1,1.2,1,1,1,1,1,85,112,112,112,112,Curseblade Labirith (Field Boss) (Tier 2)
46723,50700090,905070000,0.6,0.6,0.6,0.8,0.6,0.8,0.6,1,80,999,252,252,252,Death Knight (Field Boss) (Twin Axes) (Tier 2)
46724,50701100,905070000,0.6,0.6,0.6,0.8,0.6,0.8,0.6,1,80,999,252,252,252,Death Knight (Field Boss) (Longhaft) (Tier 2)
46741,by-name:35600172,903575000,1,0.9,1.1,1,0.8,0.6,0.8,0.6,80,112,154,154,154,Godskin Apostle {Godskin Duo)
46742,by-name:49800000,904680320,0.9,1.4,0.9,0.65,0.8,0.8,0.6,1.4,120,999,999,252,999,Death Rite Bird
46743,by-name:46800000,904980600,0.65,0.65,0.65,0.65,0.8,0.8,0.8,0.8,100,252,252,252,999,Fallingstar Beast
46751,45101130,904510601,0.65,0.65,0.65,0.9,0.6,0.6,0.2,0.6,120,252,252,252,252,Ancient Dragon (Field Boss) No Fly
46752,45030060,904503600,0.65,0.9,0.4,0.4,0.6,0.6,0.6,0.6,120,252,252,252,542,Borealis (Field Boss) (Tier 4) No Fly
46753,45010030,904501600,1.4,1.4,1.4,1.1,1.4,2,1.4,1.4,120,112,542,542,112,Decaying Ekzykes (Field Boss) (Tier 4) No Fly
46754,46500070,904650600,0.9,0.9,1,0.9,0.8,0.8,0.6,0.8,120,252,999,252,542,Dragonkin Soldier (Ice Lightning) (Field Boss) (Tier 4)
46761,45000020,904500600,0.65,0.65,0.65,0.9,0.6,0.6,0.6,0.6,120,252,252,252,252,Flying Dragon (Field Boss) No Fly
46762,58600110,905860000,0.65,0.9,0.55,0.6,0.4,0.6,0.6,1.1,120,999,999,252,999,Ghostflame Dragon (Field Boss) No Fly
46763,49100190,904910320,0.9,0.9,0.65,0.9,0.6,0.2,0.6,0.6,120,252,252,252,542,Magma Wyrm (Field Boss)
46764,45020940,904502600,0.65,0.65,0.65,0.9,0.4,0.6,0.6,0.6,120,252,252,252,252,Glintstone Dragon Smarag (Field Boss) (Tier 3) No Fly
46771,by-name:41300000,905081001,1,1,1.1,1,1,1.2,1,1,80,112,84,84,112,Demi-Human Queen
46772,by-name:41300000,905320001,1,1,1.1,1,1,1.2,1,1,80,112,84,84,112,Demi-Human Queen
46773,by-name:46300000,904630310,1,1,1.1,1,1,1.2,1,1,80,252,154,154,252,Runebear
46774,by-name:31811032,903181400,1,1,1.1,1,0.6,0.8,0.8,0.8,120,252,154,154,252,Red Wolf of the Champion
46811,21000030,902100600,0.9,0.9,0.9,0.65,0.8,0.8,0.8,0.6,80,999,999,999,154,Black Knife Assassin (Castle)
46812,34000942,903400301,1,1,1.1,1,1,1,1,1,65,84,112,112,112,Frenzied Grave Warden Duelist (Basement Boss)
46813,34000960,903400302,1,1,1.1,1,1,1.2,1,1,65,84,252,542,112,Putrid Grave Warden Duelist (Basement Boss)
46814,50700095,905070000,0.6,0.6,0.6,0.8,0.6,0.8,0.6,1,80,999,252,252,252,Death Knight (Basement Boss)
46821,31810020,903181300,1,1,1.1,1,0.6,0.8,0.8,0.8,120,252,154,154,252,Red Wolf of Radagon (Castle)
46822,62100005,904976000,0.82,0.98,0.62,0.86,0.96,0.55,1.75,1.02,80,252,154,154,84,Corvian Knight (Rapier) (Basement Boss)
46823,42700025,904270600,1,1,1.1,1,1,1.2,1,1,80,252,154,154,252,Elder Lion (Basement Boss)
46824,42900045,904290310,0.9,0.9,0.9,1,1,1,1.2,1,65,154,154,154,154,Bloodhound Knight (Basement Boss)
46861,34600040,903460500,0.9,0.9,1,0.9,0.8,1,0.8,0.8,80,154,154,154,154,Leonine Misbegotten (Castle)
46862,34601965,903460600,0.9,0.9,1,0.9,0.8,1,0.8,0.6,80,154,154,154,154,Misbegotten Crusader (Basement Boss)
46863,53120190,905320000,0.9,0.9,1.2,1,0.9,1.2,0.9,0.9,80,112,112,112,112,Inquisitor Jori (Staff) (Basement Boss)
46864,43401955,904580620,1,0.9,1.1,1,1,1,1.2,1,65,84,112,112,84,Skeletal Gladiator (Basement Boss)
46871,31000030,903100600,0.65,0.65,0.65,0.9,0.6,0.6,0.8,0.6,80,252,154,154,252,Bell Bearing Hunter (Castle Basement)
46872,42600165,904260307,0.65,0.9,0.65,0.65,0.6,0.6,0.6,0.6,80,999,999,999,999,Erdtree Burial Watchdog (Lightning) (Basement Boss)
46873,42601645,904260307,0.65,0.9,0.65,0.65,0.6,0.6,0.6,0.6,80,999,999,999,999,Erdtree Burial Watchdog (Staff) (Basement Boss)
46874,42600155,904260307,0.65,0.9,0.65,0.65,0.6,0.6,0.6,0.6,80,999,999,999,999,Erdtree Burial Watchdog (Fire) (Basement Boss)
46881,40210030,904020540,1,1,1.1,1,1,1,1,0.6,100,154,154,154,154,Royal Revenant (Castle)
46882,58400615,903800710,0.8,0.8,0.6,1,0.8,0.8,1.4,0.8,65,154,112,112,154,Black Knight Garrew (Basement Boss)
46883,58400705,903800710,0.8,0.8,0.6,1,0.8,0.8,1.4,0.8,65,154,112,112,154,Black Knight Edredd (Basement Boss)
46884,51600125,903800700,0.8,0.8,0.6,1,0.8,0.6,1,1,65,154,112,112,154,Fire Knight (Basement Boss)
46911,46900020,904690000,1,1,1.1,1,0.8,0.8,0.8,0.8,80,112,154,154,112,Grafted Scion (Castle)
46912,12602025,904130720,0.98,0.95,0.99,0.98,1.02,1.07,1.02,1.02,65,112,112,112,112,Crashy (Basement Boss)
46913,13100005,904978000,0.8,0.85,0.78,0.8,0.8,0.78,0.84000003,1.22,80,252,999,999,999,Outrider Knight (Basement Boss)
46914,50400185,905040000,1,1,1.2,1,1,1,1,1,85,112,112,112,112,Curseblade Labirith (Basement Boss)
46951,71000020,907100300,0.9,0.9,0.9,1,1,1.2,1.2,1,80,252,154,154,542,Ancient Hero (Castle)
46952,25000055,902500300,0.65,0.65,0.65,0.65,0.6,0.8,0.8,0.6,80,999,252,252,252,Crucible Knight Ordovis (Basement Boss)
46953,25001055,902500300,0.65,0.65,0.65,0.65,0.6,0.8,0.8,0.6,80,999,252,252,252,Crucible Knight Siluria (Basement Boss)
46954,38000025,903800600,0.9,0.9,0.65,1,0.8,1.2,1,0.6,65,154,252,252,154,Cleanrot Knight (Basement Boss)
46955,58000055,902500300,0.65,0.65,0.65,0.65,0.6,0.8,0.8,0.6,80,999,252,252,252,Crucible Knight Devonia (Basement Boss)
46605,by-name:33000000,,1,1,1.1,1,0.8,1,1,1.2,65,154,154,154,154,Nox Swordstress/Monk/Nightmaiden
46503,by-name:34000000,,1,1,1.1,1,1,1,1,1,65,84,112,112,112,Grave Warden Duelist
46504,by-name:39701910,,1,1,1.1,1,1,1.2,0.8,1,65,154,112,112,154,Beastman of Farum Azula (Limgrave Cave Boss)
46604,by-name:30100000,,0.9,0.9,0.65,1,0.8,0.8,1,0.8,65,154,112,112,154,Banished Knight
46606,by-name:42900000,,0.9,0.9,0.9,1,1,1,1.2,1,65,154,154,154,154,Bloodhound Knight
46505,by-name:34500000,,1,1,1,1,1,1.2,1,1,30,112,112,112,112,Misbegotten
46602,by-name:33500000,,0.9,0.9,0.65,0.65,0.6,0.6,0.6,0.6,70,999,252,252,252,Crystalian
46700,by-name:46500000,,0.9,0.9,1,0.9,0.8,0.8,0.6,0.8,120,252,252,252,542,Dragonkin Soldier
46502,by-name:21400000,,1,1,1.1,1,1,1,1,0.8,65,112,112,112,112,Omen
46801,by-name:45100000,,0.65,0.65,0.65,0.9,0.6,0.6,0.2,0.6,120,252,252,252,252,Ancient Dragon
46603,by-name:33500000,,0.9,0.9,0.65,0.65,0.6,0.6,0.6,0.6,70,999,252,252,252,Crystalian
46800,by-name:49800000,,0.9,1.4,0.9,0.65,0.8,0.8,0.6,1.4,120,999,999,252,999,Death Rite Bird
46802,by-name:35600172,,1,0.9,1.1,1,0.8,0.6,0.8,0.6,80,112,154,154,154,Godskin Apostle {Godskin Duo)
4958,by-name:62201000,,1,1.02,0.98,1,1,0.4,0.96,1,120,999,542,542,252,Fire Demon (NB1)
4973,by-name:25000000,,0.65,0.65,0.65,0.65,0.6,0.8,0.8,0.6,80,999,252,252,252,Crucible Knight
4900,by-name:75000000,,1,1,1,1.1,1,0.5,1,1.35,120,252,542,252,542,Gladius - Beast of Night
4960,by-name:46700065,,1,1,1.1,1,0.8,1.2,1,1.2,120,542,542,542,542,Ancestor Spirit (Regal)
4966,by-name:49100940,,0.9,0.9,0.65,0.9,0.6,0.2,0.6,0.6,120,252,252,252,542,Magma Wyrm (Gael Tunnel Boss)
4961,by-name:45021930,,0.65,0.65,0.65,0.9,0.4,0.6,0.6,0.6,120,252,252,252,252,Adula (Field Boss) (Tier 3) UNUSED
4810,by-name:78200020,,1.1,1.1,0.94,0.92,0.7,0.2,0.7,0.7,100,999,154,154,252,Smelter Demon GH Castle
4962,by-name:21101000,,0.65,0.65,0.65,0.65,0.6,0.6,0.6,0.2,80,252,154,154,252,Maliketh
4952,by-name:58600001,,0.65,0.9,0.55,0.6,0.4,0.6,0.6,1.1,120,999,999,252,999,Ghostflame Dragon
4954,by-name:50300000,,0.8,0.8,0.6,0.8,0.8,1,0.8,0.8,80,154,999,999,112,Romina- Saint of the Bud
4953,by-name:83000000,,0.88,0.95,0.85,0.85,0.96,1,0.58000004,0.62,120,999,999,999,84,Dragonslayer Armor (NB1)
4880,by-name:35600172,,1,0.9,1.1,1,0.8,0.6,0.8,0.6,80,112,154,154,154,Godskin Apostle {Godskin Duo)
4972,by-name:51600001,,0.8,0.8,0.6,1,0.8,0.6,1,1,65,154,112,112,154,Fire Knight
4964,by-name:50000000,,0.8,0.8,0.6,0.8,0.8,1,1,1.2,100,252,154,154,252,Commander Gaius
4930,by-name:40200000,,1,1,1.1,1,1,1,1,0.6,70,154,154,154,154,Royal Revenant
4820,by-name:79000030,,0.79,0.81,0.78,0.8,0.76,0.77,0.17,1.08,120,252,999,252,252,Nameless King GH Castle
4976,by-name:48100000,,0.9,1,0.9,0.9,0.8,1.4,0.8,0.6,120,999,154,154,112,Erdtree Avatar
4957,by-name:53000000,,0.8,0.8,0.6,1,0.6,0.75,1,0.8,120,154,112,112,154,Rellana- Twin Moon Knight
4910,by-name:47509010,,1,1,1,1,0.8,0.8,0.8,0.6,105,154,154,154,154,Grafted Monarch (Night Boss)
5210,by-name:75200000,,1.15,1.15,1.25,1.25,0.5,1.4,0.9,0.9,100,154,542,154,154,Gnoster - Wisdom of Night
4968,by-name:20300000,,1.1,1,1.1,1.1,0.2,0.8,0.8,0.8,-1,154,154,154,154,Rennala- Queen of the Full Moon
4920,by-name:46800032,,0.65,0.65,0.65,0.65,0.8,0.8,0.8,0.8,100,999,252,252,999,Full-Grown Fallingstar Beast (Volcano Top)
5201,by-name:58200001,,1,1,1.1,1,1,1.2,1,1,120,252,154,154,252,Great Red Bear
5212,by-name:77200000,,1,1.1,0.9,1,0.85,0.9,1.1,1.1,120,542,542,542,542,Knight Artorias
4950,by-name:47200000,,0.9,0.9,0.9,1,0.8,0.8,1,0.6,120,252,154,154,252,Godfrey- First Elden Lord (Unscaled)
4979,by-name:901300011,,0.8,0.8,0.8,0.8,0.6,1.3,1.3,0.6,120,542,252,252,542,Logarius (NB2)
4978,by-name:51050000,,0.789,0.8,0.87,1,1,1.25,1,1,200,252,154,154,252,Gyoubu Oniwa (NB1)
4963,by-name:85000000,,0.9,1,1,1,0.85,0.9,0.85,1.1,190,252,999,252,252,Manus (NB2)
4918,by-name:49110000,,0.9,0.9,0.65,0.9,0.6,0.2,0.6,0.6,120,252,252,252,542,Great Wyrm
4790,by-name:77100020,,1,1.1,1,1,1.2,0.2,1.1,1.1,110,252,252,252,252,Centipede Demon GH Castle
4830,by-name:79200020,,0.8,0.81,0.78,0.8,0.81,0.82,0.83,1.26,100,252,999,252,999,Dancer GH Castle
4800,by-name:78000020,,0.84,1.1,0.93,0.7,0.5,0.7,0.5,0.5,100,252,999,252,252,Freja GH Castle
4956,by-name:47300000,,0.9,0.9,0.9,1,0.8,0.8,0.8,0.6,200,154,154,112,154,Starscourge Radahn
4951,by-name:50100000,,1,1,1.1,1,1,1.2,1.2,1,80,252,154,154,252,Large Golden Hippopotamus
4967,by-name:51300000,,0.8,0.8,1,0.8,0.8,0.6,0.8,0.6,120,154,154,154,154,Messmer the Impaler
4926,by-name:30500000,,0.9,0.9,0.65,1,0.8,0.8,0.8,0.8,90,154,154,154,154,Outland Commander
4924,by-name:31000000,,0.65,0.65,0.65,0.9,0.6,0.6,0.8,0.6,80,252,154,154,252,Bell Bearing Hunter
5211,by-name:52100001,,0.7,0.7,0.8,1,0.6,1,0.6,0.6,120,112,154,112,252,Divine Beast Dancing Lion
4990,by-name:46400000,,1,1,1,1,0.8,1.2,0.8,0.6,120,252,252,252,112,Ulcerated Tree Spirit
4959,by-name:50500000,,0.8,0.8,1,0.8,0.8,0.6,0.8,0.8,80,154,112,112,154,Midra - Human
5202,by-name:41500020,,1.1,1.1,1.4,1.1,1.2,1.2,1.2,1.2,30,63,84,84,63,Basilisk (Death Knights Prelude)
4969,by-name:21200000,,0.9,0.9,0.9,0.9,0.8,1,0.8,0.6,80,154,542,542,112,Malenia- Blade of Miquella
4921,by-name:49800000,,0.9,1.4,0.9,0.65,0.8,0.8,0.6,1.4,120,999,999,252,999,Death Rite Bird
4955,by-name:45110010,,0.65,0.65,0.65,0.9,0.6,0.6,0.2,0.2,140,252,252,252,252,Fortissax (Field Boss) (Tier 4)
4850,by-name:32500000,,0.9,0.9,0.65,0.9,0.8,0.6,0.6,0.8,80,252,154,154,252,Draconic Tree Sentinel
4890,by-name:45700000,,1,1,1.1,1,1,1,1,0.6,65,154,154,154,154,Wormface
4929,by-name:41300000,,1,1,1.1,1,1,1.2,1,1,80,112,84,84,112,Demi-Human Queen
4975,,,,,,,,,,,,,,,,
5213,by-name:79301000,,1,0.99,1.18,1.02,0.8,0.22,0.78,0.83,120,252,999,542,999,Demon Prince - Demon from Below
4974,by-name:47700000,,0.9,1,0.65,0.65,0.8,0.6,0.6,0.6,95,999,999,999,999,Valiant Gargoyle
4971,by-name:58400001,,0.8,0.8,0.6,1,0.8,0.8,1.4,0.8,65,154,112,112,154,Black Knight
4923,by-name:46500020,,0.9,0.9,1,0.9,0.8,0.8,0.6,0.8,120,252,252,252,542,Nox Dragonkin Soldier GH Castle
4927,by-name:30500100,,0.9,0.9,0.65,1,0.8,0.8,0.8,0.8,90,154,154,154,154,Battlefield Commander
5203,by-name:79300100,,1,0.99,1.18,1.02,0.8,0.22,0.78,0.83,120,252,999,542,999,Demon in Pain
4928,by-name:31500000,,0.65,0.65,0.65,0.9,0.6,0.6,0.8,0.6,80,252,154,154,252,Night's Cavalry
4840,by-name:21300014,,1,1,1.1,1,1,1,1,0.6,80,154,154,154,154,Margit- the Fell Omen
4901,by-name:75100000,,1,1,1,1,1,0.8,0.5,1,150,542,154,154,154,Adel - Baron of Night
4860,by-name:32510000,,0.9,0.9,0.65,0.9,0.8,0.6,1,0.6,80,252,154,154,252,Tree Sentinel
4780,,,,,,,,,,,,,,,,
4902,by-name:75200000,,1.15,1.15,1.25,1.25,0.5,1.4,0.9,0.9,100,154,542,154,154,Gnoster - Wisdom of Night
4903,by-name:41810000,,1,0.65,1,1,0.8,0.8,1.2,1,30,999,999,999,999,Maris' Jellyfish
4904,by-name:75600000,,1,1,1.1,1,0.8,1.2,1,1.35,120,252,154,154,252,Libra - Creature of Night
4905,by-name:76000000,,1,1,1,1,1,1,1.2,0.7,155,154,154,154,154,Fulghor - Champion of Nightglow
4906,by-name:49000000,,1,1.15,0.85,0.9,0.8,1.35,0.8,0.8,160,252,252,252,542,Caligo - Miasma of Night
4907,by-name:75800000,,1,0.9,1.15,1.1,1,1.2,1,1.35,130,999,999,252,999,Heolstor (Shape of Night)
4908,by-name:46410000,,1,1,1.1,1.1,1,1,1,0.6,120,252,252,252,252,Weapon-Bequeathed Harmonia (Everdark Worm)
