ID,MAP,type,coord_index
174,2,46514,758
175,2,46604,605
176,2,46504,606
177,2,46606,604
178,2,46704,601
179,2,46702,607
180,2,46605,602
181,2,46502,603
182,2,30301,106
183,2,30301,109
184,2,38000,112
185,2,34103,107
186,2,34102,114
187,2,43501,300
188,2,43401,302
189,2,43501,313
190,3,38100,129
191,3,30301,104
192,3,30001,110
193,3,38000,114
194,3,32101,101
195,3,32001,106
196,3,32201,116
197,3,34000,120
198,3,34100,112
199,3,34101,100
200,3,34101,113
201,3,43020,364
202,3,41000,306
203,3,41000,305
204,3,41000,313
205,3,45000,307
206,3,40005,302
207,3,40102,312
208,3,43501,310
209,3,46821,757
210,3,46743,756
211,3,49413,190
212,3,46522,754
213,3,46534,761
214,3,46543,763
215,3,46633,750
216,3,46653,759
217,3,46551,762
218,3,46711,755
219,3,45512,760
220,3,46571,753
221,3,46693,758
222,3,46605,604
223,3,46700,605
224,3,46602,602
225,3,46503,607
226,3,46505,601
227,3,46701,606
228,3,46604,603
229,3,34101,109
230,3,34101,117
231,3,34000,103
232,3,34000,108
233,3,34101,107
234,3,37900,308
235,3,40008,300
236,3,43000,301
237,4,38001,125
238,4,30301,107
239,4,30001,101
240,4,38000,111
241,4,32200,110
242,4,32001,116
243,4,32000,113
244,4,34200,104
245,4,34001,117
246,4,34000,106
247,4,34200,109
248,4,43010,357
249,4,41000,306
250,4,41000,301
251,4,41000,310
252,4,45000,312
253,4,40008,305
254,4,43501,313
255,4,40101,308
256,4,46952,757
257,4,46682,756
258,4,49414,190
259,4,46644,762
260,4,46583,754
261,4,46521,759
262,4,46671,750
263,4,46572,760
264,4,46652,753
265,4,46712,763
266,4,46724,758
267,4,46551,755
268,4,46593,761
269,4,46060,646
270,4,46050,661
271,4,46000,619
272,4,46040,653
273,4,46020,642
274,4,46030,625
275,4,46010,657
276,4,46040,627
277,4,46050,617
278,4,46000,628
279,4,46000,638
280,4,46050,662
281,4,46040,632
282,4,46040,654
283,4,46040,647
284,4,46020,660
285,4,46000,618
286,4,46010,615
287,4,46040,648
288,4,46060,629
289,4,46060,651
290,4,46060,624
291,4,46010,623
292,4,46030,630
293,4,46040,633
294,4,46030,649
295,4,46050,631
296,4,46060,635
297,4,46010,626
298,4,46000,639
299,4,46030,621
300,4,46000,655
301,4,46030,643
302,4,46050,659
303,4,46050,645
304,4,46060,616
305,4,46060,620
306,4,46050,644
307,4,46000,656
308,4,46020,636
309,4,46010,658
310,4,46010,641
311,4,46030,622
312,4,46010,650
313,4,46020,634
314,4,46060,640
315,4,46020,652
316,4,46030,637
317,4,46703,606
318,4,46602,602
319,4,46604,605
320,4,46605,601
321,4,46503,607
322,4,46701,604
323,4,46502,603
324,4,30301,112
325,4,32001,103
326,4,34001,120
327,4,34001,100
328,4,34200,114
329,4,37900,314
330,4,45000,302
331,4,40006,300
332,5,38001,126
333,5,30301,100
334,5,30001,111
335,5,38000,109
336,5,32001,106
337,5,32000,112
338,5,32200,120
339,5,34100,104
340,5,34000,117
341,5,34200,114
342,5,34200,103
343,5,45010,358
344,5,41000,301
345,5,41000,307
346,5,41000,312
347,5,45000,306
348,5,40009,300
349,5,40103,310
350,5,43000,313
351,5,46913,757
352,5,46561,756
353,5,49433,190
354,5,46663,759
355,5,46584,755
356,5,46742,762
357,5,46682,754
358,5,46721,758
359,5,46516,753
360,5,46591,761
361,5,46572,763
362,5,46694,750
363,5,46622,760
364,5,46060,657
365,5,46000,650
366,5,46030,652
367,5,46020,627
368,5,46040,626
369,5,46050,635
370,5,46010,616
371,5,46000,618
372,5,46000,617
373,5,46050,658
374,5,46040,619
375,5,46030,659
376,5,46040,655
377,5,46060,624
378,5,46040,636
379,5,46060,662
380,5,46060,648
381,5,46060,631
382,5,46040,643
383,5,46010,656
384,5,46040,647
385,5,46010,622
386,5,46050,645
387,5,46040,644
388,5,46000,660
389,5,46000,661
390,5,46030,651
391,5,46010,625
392,5,46020,642
393,5,46020,629
394,5,46000,620
395,5,46050,639
396,5,46030,641
397,5,46050,621
398,5,46060,632
399,5,46010,653
400,5,46010,638
401,5,46020,634
402,5,46010,633
403,5,46060,628
404,5,46050,637
405,5,46050,615
406,5,46030,646
407,5,46060,623
408,5,46000,640
409,5,46020,654
410,5,46020,630
411,5,46020,649
412,5,46605,606
413,5,46606,604
414,5,46701,601
415,5,46505,607
416,5,46703,602
417,5,46604,605
418,5,46503,603
419,5,38001,107
420,5,32001,116
421,5,32000,113
422,5,34100,101
423,5,34200,110
424,5,40005,314
425,5,40101,305
426,5,43001,302
427,6,38100,124
428,6,30301,113
429,6,30001,100
430,6,38001,101
431,6,32102,117
432,6,32001,109
433,6,32201,103
434,6,34002,104
435,6,34100,111
436,6,34003,106
437,6,34100,107
438,6,45010,356
439,6,41000,300
440,6,41000,308
441,6,41000,313
442,6,45000,302
443,6,40003,314
444,6,43000,312
445,6,43400,301
446,6,46812,757
447,6,46532,756
448,6,49423,190
449,6,46743,753
450,6,46644,758
451,6,46661,761
452,6,46583,762
453,6,46573,755
454,6,46695,754
455,6,46724,759
456,6,46551,760
457,6,46626,763
458,6,46591,750
459,6,46801,607
460,6,46605,604
461,6,46503,605
462,6,46505,602
463,6,46703,601
464,6,46602,606
465,6,46704,603
466,6,30001,116
467,6,38100,114
468,6,32201,112
469,6,34002,110
470,6,34002,108
471,6,40101,310
472,6,43400,305
473,6,43000,307
474,7,38001,128
475,7,30000,107
476,7,30300,111
477,7,38000,117
478,7,32000,112
479,7,32200,104
480,7,32001,101
481,7,34300,100
482,7,34100,109
483,7,34003,103
484,7,34003,113
485,7,43411,362
486,7,41000,308
487,7,41000,300
488,7,41000,313
489,7,45000,310
490,7,40004,302
491,7,43501,307
492,7,40101,314
493,7,46883,757
494,7,46633,756
495,7,49434,190
496,7,46743,760
497,7,46641,759
498,7,46683,754
499,7,46584,763
500,7,45513,761
501,7,46571,750
502,7,46714,762
503,7,46722,753
504,7,46553,758
505,7,46774,755
506,7,46606,602
507,7,46605,605
508,7,46502,607
509,7,46505,606
510,7,46604,604
511,7,46704,601
512,7,46701,603
513,7,38001,116
514,7,32200,110
515,7,32200,106
516,7,34300,108
517,7,34100,120
518,7,37900,305
519,7,45000,306
520,7,40001,301
521,8,30001,121
522,8,30000,116
523,8,38101,103
524,8,38001,100
525,8,32001,120
526,8,32101,112
527,8,32200,108
528,8,34200,107
529,8,34103,110
530,8,34001,114
531,8,34200,113
532,8,41010,350
533,8,41000,307
534,8,41000,301
535,8,41000,314
536,8,45000,313
537,8,40007,302
538,8,43501,310
539,8,40101,308
540,8,46881,757
541,8,46663,756
542,8,49435,190
543,8,46521,760
544,8,46581,755
545,8,46534,763
546,8,46673,758
547,8,46771,750
548,8,46573,754
549,8,46691,759
550,8,46711,762
551,8,46552,761
552,8,46511,753
553,8,46060,658
554,8,46030,639
555,8,46000,618
556,8,46010,626
557,8,46020,622
558,8,46040,645
559,8,46050,631
560,8,46030,660
561,8,46010,651
562,8,46040,615
563,8,46000,629
564,8,46020,661
565,8,46000,621
566,8,46040,640
567,8,46000,652
568,8,46000,634
569,8,46030,647
570,8,46040,623
571,8,46040,630
572,8,46000,617
573,8,46030,625
574,8,46010,641
575,8,46050,646
576,8,46030,636
577,8,46030,662
578,8,46000,633
579,8,46040,624
580,8,46030,642
581,8,46040,632
582,8,46050,653
583,8,46020,648
584,8,46020,650
585,8,46010,654
586,8,46010,619
587,8,46010,620
588,8,46050,628
589,8,46060,656
590,8,46010,659
591,8,46050,627
592,8,46060,643
593,8,46050,637
594,8,46050,638
595,8,46020,649
596,8,46060,657
597,8,46020,616
598,8,46060,635
599,8,46020,655
600,8,46060,644
601,8,46602,604
602,8,46604,601
603,8,46503,607
604,8,46704,605
605,8,46701,606
606,8,46502,602
607,8,46605,603
608,8,30000,106
609,8,38001,109
610,8,32101,117
611,8,34200,104
612,8,34200,111
613,8,37900,306
614,8,45000,305
615,8,40009,312
616,9,30301,126
617,9,30001,111
618,9,38001,104
619,9,38000,120
620,9,32001,107
621,9,32102,116
622,9,32000,112
623,9,34003,110
624,9,34101,114
625,9,34103,113
626,9,34003,100
627,9,41010,358
628,9,41000,305
629,9,41000,306
630,9,41000,300
631,9,45000,302
632,9,40003,310
633,9,43001,301
634,9,40101,312
635,9,46884,757
636,9,46641,756
637,9,49436,190
638,9,46582,755
639,9,46662,754
640,9,46672,759
641,9,46631,763
642,9,46516,760
643,9,46771,753
644,9,46711,750
645,9,46723,762
646,9,46628,758
647,9,46551,761
648,9,46605,607
649,9,46604,606
650,9,46701,601
651,9,46602,602
652,9,46504,604
653,9,46503,605
654,9,46704,603
655,9,30301,101
656,9,38001,117
657,9,32102,103
658,9,32001,106
659,9,34103,109
660,9,43001,307
661,9,43001,314
662,9,43001,313
663,10,38101,121
664,10,30001,117
665,10,30301,107
666,10,38100,110
667,10,32200,100
668,10,32102,120
669,10,32000,113
670,10,34200,106
671,10,34001,104
672,10,34103,111
673,10,34200,109
674,10,41010,350
675,10,41000,307
676,10,41000,313
677,10,41000,302
678,10,45000,314
679,10,40001,312
680,10,43001,305
681,10,40103,310
682,10,46881,757
683,10,46524,756
684,10,49411,190
685,10,46544,761
686,10,46532,754
687,10,46661,750
688,10,46741,763
689,10,46723,753
690,10,46573,758
691,10,46712,762
692,10,45514,760
693,10,46771,755
694,10,46551,759
695,10,46000,629
696,10,46010,649
697,10,46050,655
698,10,46030,620
699,10,46060,651
700,10,46020,636
701,10,46040,659
702,10,46040,660
703,10,46030,646
704,10,46000,626
705,10,46010,662
706,10,46050,622
707,10,46020,617
708,10,46000,619
709,10,46030,623
710,10,46040,618
711,10,46020,639
712,10,46000,648
713,10,46050,625
714,10,46030,650
715,10,46050,657
716,10,46050,630
717,10,46020,640
718,10,46000,652
719,10,46000,616
720,10,46030,635
721,10,46020,645
722,10,46060,656
723,10,46060,644
724,10,46040,632
725,10,46060,637
726,10,46060,624
727,10,46010,628
728,10,46020,658
729,10,46060,641
730,10,46040,653
731,10,46010,631
732,10,46020,627
733,10,46040,661
734,10,46030,638
735,10,46000,654
736,10,46040,621
737,10,46060,642
738,10,46050,615
739,10,46030,647
740,10,46050,643
741,10,46060,633
742,10,46060,634
743,10,46603,604
744,10,46606,606
745,10,46504,601
746,10,46700,605
747,10,46505,602
748,10,46604,607
749,10,46701,603
750,10,30001,114
751,10,30001,103
752,10,38101,108
753,10,32000,116
754,10,34200,112
755,10,37900,301
756,10,43001,308
757,10,43000,306
758,11,20800,109
759,11,38001,128
760,11,30301,107
761,11,30000,110
762,11,38000,101
763,11,32000,104
764,11,32001,116
765,11,32200,120
766,11,34002,111
767,11,34200,113
768,11,34104,100
769,11,34104,106
770,11,43410,362
771,11,41000,305
772,11,41000,308
773,11,41000,313
774,11,45000,301
775,11,40003,314
776,11,43001,302
777,11,43400,310
778,11,46914,757
779,11,46661,756
780,11,49424,190
781,11,46644,759
782,11,46583,755
783,11,46682,753
784,11,46633,760
785,11,45511,750
786,11,46572,761
787,11,46553,763
788,11,46628,754
789,11,46512,762
790,11,46692,758
791,11,46701,604
792,11,46503,602
793,11,46504,606
794,11,46703,605
795,11,46603,607
796,11,46606,601
797,11,46605,603
798,11,32200,117
799,11,34200,112
800,11,34104,103
801,11,34104,108
802,11,40102,306
803,11,40005,307
804,11,40101,300
805,12,38101,122
806,12,30301,116
807,12,30001,101
808,12,38000,103
809,12,32102,111
810,12,32101,113
811,12,32000,109
812,12,34102,106
813,12,34100,117
814,12,34002,108
815,12,34002,114
816,12,43010,351
817,12,41000,306
818,12,41000,300
819,12,41000,313
820,12,45000,314
821,12,40002,310
822,12,43501,312
823,12,40102,302
824,12,46813,757
825,12,46741,756
826,12,49421,190
827,12,46642,755
828,12,46661,760
829,12,46681,754
830,12,46561,759
831,12,46691,761
832,12,46551,763
833,12,46721,750
834,12,46516,758
835,12,46592,753
836,12,46651,762
837,12,46602,604
838,12,46703,602
839,12,46502,607
840,12,46505,605
841,12,46603,606
842,12,46702,601
843,12,46606,603
844,12,30301,104
845,12,30301,110
846,12,32102,120
847,12,34102,107
848,12,34002,112
849,12,45000,305
850,12,40103,308
851,12,40009,307
852,13,38101,121
853,13,30300,110
854,13,30000,107
855,13,38001,104
856,13,32200,112
857,13,32102,109
858,13,32000,103
859,13,34003,108
860,13,34002,106
861,13,34000,114
862,13,34002,120
863,13,43010,350
864,13,41000,306
865,13,41000,313
866,13,41000,307
867,13,45000,305
868,13,40001,308
869,13,40103,310
870,13,43501,301
871,13,46873,757
872,13,46673,756
873,13,49425,190
874,13,46632,760
875,13,46682,755
876,13,46581,753
877,13,46641,762
878,13,46551,758
879,13,46714,761
880,13,46621,750
881,13,46724,763
882,13,46591,754
883,13,46651,759
884,13,46801,603
885,13,46605,604
886,13,46503,605
887,13,46704,606
888,13,46502,601
889,13,46606,607
890,13,46700,602
891,13,30000,100
892,13,32200,113
893,13,32200,117
894,13,32102,111
895,13,34000,116
896,13,37900,302
897,13,43501,312
898,13,43000,314
899,14,38101,121
900,14,30300,103
901,14,30000,104
902,14,38000,116
903,14,32200,113
904,14,32001,111
905,14,32000,106
906,14,34003,114
907,14,34103,112
908,14,34100,108
909,14,34100,107
910,14,43411,350
911,14,41000,308
912,14,41000,302
913,14,41000,305
914,14,45000,301
915,14,40008,310
916,14,43001,307
917,14,43401,314
918,14,46822,757
919,14,46742,756
920,14,49426,190
921,14,46681,758
922,14,46643,755
923,14,46544,753
924,14,46524,762
925,14,46573,763
926,14,46552,754
927,14,46693,760
928,14,46592,750
929,14,46773,759
930,14,46651,761
931,14,46703,602
932,14,46605,601
933,14,46503,604
934,14,46502,607
935,14,46602,606
936,14,46701,605
937,14,46604,603
938,14,49400,713
939,14,30000,109
940,14,38101,110
941,14,32001,100
942,14,34100,117
943,14,34103,120
944,14,40102,306
945,14,43401,312
946,14,43401,313
947,15,38100,127
948,15,30300,113
949,15,30001,100
950,15,38101,106
951,15,32101,107
952,15,32200,111
953,15,32102,103
954,15,34100,109
955,15,34200,120
956,15,34101,104
957,15,34101,108
958,15,43411,360
959,15,41000,302
960,15,41000,312
961,15,41000,308
962,15,45000,306
963,15,40101,305
964,15,40102,300
965,15,43401,313
966,15,46814,757
967,15,46632,756
968,15,49437,190
969,15,46674,763
970,15,46581,750
971,15,46543,754
972,15,46741,761
973,15,46774,760
974,15,46512,753
975,15,46713,759
976,15,46628,755
977,15,46652,762
978,15,46554,758
979,15,46605,601
980,15,46704,607
981,15,46606,603
982,15,46504,605
983,15,46701,606
984,15,46505,604
985,15,46603,602
986,15,30300,117
987,15,30300,116
988,15,32102,101
989,15,34101,110
990,15,34200,114
991,15,45000,314
992,15,40007,301
993,15,40009,307
994,16,21000,110
995,16,30001,126
996,16,30301,113
997,16,38000,111
998,16,38100,120
999,16,32200,109
1000,16,32201,106
1001,16,32102,117
1002,16,34101,101
1003,16,34300,103
1004,16,34002,104
1005,16,34101,107
1006,16,43020,360
1007,16,41000,306
1008,16,41000,313
1009,16,41000,307
1010,16,45000,301
1011,16,40004,305
1012,16,43501,308
1013,16,43400,314
1014,16,46911,757
1015,16,46683,756
1016,16,49427,190
1017,16,46741,759
1018,16,46521,762
1019,16,46673,754
1020,16,46662,760
1021,16,46516,763
1022,16,45512,755
1023,16,46712,761
1024,16,46551,753
1025,16,46592,758
1026,16,46572,750
1027,16,46605,602
1028,16,46704,604
1029,16,46505,607
1030,16,46502,606
1031,16,46703,601
1032,16,46602,605
1033,16,46603,603
1034,16,30301,112
1035,16,30301,114
1036,16,38100,100
1037,16,32102,116
1038,16,40000,302
1039,16,43400,300
1040,16,40101,312
1041,17,30301,129
1042,17,30300,104
1043,17,38000,106
1044,17,38001,112
1045,17,32101,100
1046,17,32100,117
1047,17,32001,114
1048,17,34104,108
1049,17,34103,110
1050,17,34000,101
1051,17,34000,103
1052,17,43020,364
1053,17,41000,308
1054,17,41000,307
1055,17,41000,301
1056,17,45000,300
1057,17,40009,305
1058,17,40102,312
1059,17,43501,306
1060,17,46823,757
1061,17,46642,756
1062,17,49415,190
1063,17,46524,753
1064,17,46541,761
1065,17,46674,758
1066,17,46584,755
1067,17,46592,759
1068,17,46627,763
1069,17,46652,760
1070,17,46712,750
1071,17,46694,754
1072,17,46771,762
1073,17,46800,601
1074,17,46604,605
1075,17,46701,602
1076,17,46606,604
1077,17,46503,607
1078,17,46505,606
1079,17,46703,603
1080,17,30300,120
1081,17,38000,116
1082,17,32001,107
1083,17,34104,113
1084,17,34000,109
1085,17,45000,313
1086,17,40000,310
1087,17,43000,302
1088,18,20600,107
1089,18,38000,124
1090,18,30000,110
1091,18,30300,108
1092,18,38101,103
1093,18,32000,104
1094,18,32100,109
1095,18,32200,111
1096,18,34102,116
1097,18,34100,100
1098,18,34001,106
1099,18,34102,117
1100,18,43020,356
1101,18,41000,312
1102,18,41000,308
1103,18,41000,310
1104,18,45000,301
1105,18,40000,302
1106,18,43501,305
1107,18,40102,313
1108,18,46824,757
1109,18,46662,756
1110,18,49428,190
1111,18,46632,763
1112,18,46682,761
1113,18,46584,754
1114,18,46672,750
1115,18,46714,759
1116,18,46571,755
1117,18,46592,762
1118,18,46772,753
1119,18,45513,760
1120,18,46551,758
1121,18,46801,603
1122,18,46604,606
1123,18,46701,607
1124,18,46606,602
1125,18,46504,604
1126,18,46503,601
1127,18,46703,605
1128,18,30300,114
1129,18,38101,113
1130,18,32000,101
1131,18,34102,112
1132,18,43000,300
1133,18,43501,314
1134,18,43000,307
1135,19,30001,123
1136,19,30300,108
1137,19,38001,107
1138,19,38000,104
1139,19,32000,111
1140,19,32102,100
1141,19,32101,109
1142,19,34300,113
1143,19,34200,110
1144,19,34100,112
1145,19,34300,114
1146,19,45010,352
1147,19,41000,314
1148,19,41000,306
1149,19,41000,307
1150,19,45000,313
1151,19,40001,312
1152,19,43001,305
1153,19,40102,300
1154,19,46882,757
1155,19,46681,756
1156,19,49438,190
1157,19,46673,750
1158,19,46534,760
1159,19,46633,763
1160,19,46581,754
1161,19,46627,761
1162,19,46652,755
1163,19,46516,762
1164,19,46571,758
1165,19,46554,753
1166,19,45514,759
1167,19,46504,602
1168,19,46503,606
1169,19,46602,601
1170,19,46703,604
1171,19,46606,605
1172,19,46700,607
1173,19,46605,603
1174,19,30001,103
1175,19,32102,106
1176,19,34300,101
1177,19,34300,116
1178,19,34200,117
1179,19,40008,308
1180,19,43001,310
1181,19,43001,301
1182,20,30301,129
1183,20,30300,104
1184,20,38001,109
1185,20,38100,100
1186,20,32000,114
1187,20,32102,108
1188,20,32000,112
1189,20,34200,101
1190,20,34300,113
1191,20,34200,117
1192,20,41010,364
1193,20,41000,307
1194,20,41000,312
1195,20,41000,301
1196,20,40001,305
1197,20,40101,310
1198,20,43501,308
1199,20,46821,757
1200,20,46663,756
1201,20,49416,190
1202,20,46681,762
1203,20,46524,761
1204,20,46671,755
1205,20,46653,760
1206,20,45511,763
1207,20,46573,750
1208,20,46050,652
1209,20,46020,642
1210,20,46060,617
1211,20,46030,662
1212,20,46040,640
1213,20,46000,648
1214,20,46010,628
1215,20,46010,659
1216,20,46020,647
1217,20,46010,655
1218,20,46060,641
1219,20,46020,627
1220,20,46020,618
1221,20,46040,615
1222,20,46000,656
1223,20,46000,645
1224,20,46060,644
1225,20,46000,654
1226,20,46030,646
1227,20,46040,632
1228,20,46030,631
1229,20,46060,629
1230,20,46040,649
1231,20,46050,643
1232,20,46000,639
1233,20,46060,660
1234,20,46000,651
1235,20,46010,630
1236,20,46040,653
1237,20,46030,620
1238,20,46060,650
1239,20,46040,661
1240,20,46605,606
1241,20,46700,607
1242,20,46602,605
1243,20,46503,602
1244,20,49400,718
1245,20,30301,116
1246,20,34300,110
1247,20,43501,300
1248,20,43000,313
1249,21,20900,111
1250,21,30300,125
1251,21,30001,100
1252,21,38001,116
1253,21,38100,101
1254,21,32100,104
1255,21,32000,114
1256,21,32000,110
1257,21,34001,117
1258,21,34000,113
1259,21,34000,109
1260,21,43011,357
1261,21,41000,310
1262,21,41000,300
1263,21,41000,314
1264,21,40004,308
1265,21,40101,305
1266,21,43401,313
1267,21,46953,757
1268,21,46674,756
1269,21,49421,190
1270,21,46522,763
1271,21,46662,755
1272,21,46591,760
1273,21,46721,761
1274,21,46584,762
1275,21,46713,750
1276,21,46606,602
1277,21,46700,605
1278,21,46504,607
1279,21,46603,606
1280,21,38001,112
1281,21,45000,312
1282,21,40102,301
1283,22,38101,122
1284,22,30301,101
1285,22,30300,112
1286,22,38000,108
1287,22,32001,109
1288,22,32100,113
1289,22,32001,111
1290,22,34003,116
1291,22,34200,104
1292,22,34003,110
1293,22,43020,351
1294,22,41000,307
1295,22,41000,314
1296,22,41000,300
1297,22,40007,312
1298,22,40102,308
1299,22,43401,305
1300,22,46862,757
1301,22,46682,756
1302,22,49422,190
1303,22,46644,763
1304,22,46742,755
1305,22,46522,760
1306,22,46573,761
1307,22,45512,762
1308,22,46627,750
1309,22,46700,602
1310,22,46505,607
1311,22,46605,605
1312,22,46602,606
1313,22,30300,114
1314,22,38000,117
1315,22,45000,313
1316,22,40005,310
1317,23,38001,129
1318,23,30301,101
1319,23,30000,112
1320,23,38100,110
1321,23,32101,100
1322,23,32000,116
1323,23,32000,108
1324,23,34200,109
1325,23,34000,113
1326,23,34000,117
1327,23,44010,364
1328,23,41000,307
1329,23,41000,300
1330,23,41000,313
1331,23,40007,312
1332,23,40103,305
1333,23,43401,301
1334,23,46861,757
1335,23,46631,756
1336,23,49417,190
1337,23,46531,761
1338,23,46541,762
1339,23,46581,755
1340,23,46696,763
1341,23,46573,760
1342,23,46714,750
1343,23,46800,606
1344,23,46606,605
1345,23,46505,602
1346,23,46703,607
1347,23,49400,715
1348,23,38001,104
1349,23,32101,114
1350,23,37900,310
1351,23,43001,308
1352,24,38101,129
1353,24,30301,112
1354,24,30000,116
1355,24,38100,108
1356,24,32000,100
1357,24,32101,113
1358,24,32000,109
1359,24,34100,114
1360,24,34001,101
1361,24,34001,117
1362,24,43010,364
1363,24,41000,308
1364,24,41000,313
1365,24,41000,307
1366,24,40008,310
1367,24,43000,312
1368,24,40101,301
1369,24,46822,757
1370,24,46683,756
1371,24,49423,190
1372,24,46642,762
1373,24,46563,755
1374,24,46741,760
1375,24,45513,750
1376,24,46628,763
1377,24,46592,761
1378,24,46604,607
1379,24,46603,602
1380,24,46503,605
1381,24,46700,606
1382,24,34001,104
1383,24,34001,110
1384,24,37900,305
1385,24,45000,300
1386,25,30300,125
1387,25,30000,101
1388,25,38000,116
1389,25,38001,103
1390,25,32101,113
1391,25,32000,100
1392,25,34100,114
1393,25,34200,120
1394,25,34100,104
1395,25,45010,357
1396,25,41000,308
1397,25,41000,305
1398,25,41000,313
1399,25,40000,314
1400,25,40102,302
1401,25,43400,312
1402,25,46912,757
1403,25,46661,756
1404,25,49424,190
1405,25,46581,762
1406,25,46741,753
1407,25,46644,755
1408,25,46591,763
1409,25,46571,754
1410,25,45514,750
1411,25,46605,605
1412,25,46701,607
1413,25,46502,601
1414,25,46603,602
1415,25,30000,117
1416,25,38001,109
1417,25,37900,301
1418,25,45000,300
1419,26,38001,121
1420,26,30000,109
1421,26,30001,113
1422,26,38000,103
1423,26,32101,120
1424,26,32100,117
1425,26,34200,116
1426,26,34101,100
1427,26,34101,108
1428,26,43020,350
1429,26,41000,312
1430,26,41000,308
1431,26,41000,301
1432,26,40008,305
1433,26,43001,307
1434,26,43400,302
1435,26,46883,757
1436,26,46643,756
1437,26,49425,190
1438,26,46742,753
1439,26,46671,763
1440,26,46524,750
1441,26,46572,755
1442,26,46713,762
1443,26,46624,754
1444,26,46606,602
1445,26,46604,605
1446,26,46503,601
1447,26,46700,607
1448,26,49400,718
1449,26,32101,114
1450,26,34200,104
1451,26,40101,313
1452,26,43400,314
1453,27,30300,126
1454,27,30301,120
1455,27,38100,109
1456,27,38101,100
1457,27,32000,113
1458,27,32001,101
1459,27,34000,103
1460,27,34100,104
1461,27,34000,114
1462,27,45010,358
1463,27,41000,307
1464,27,41000,302
1465,27,41000,300
1466,27,40004,314
1467,27,43001,313
1468,27,40101,301
1469,27,46863,757
1470,27,46644,756
1471,27,49418,190
1472,27,46631,753
1473,27,46662,750
1474,27,46563,763
1475,27,46511,762
1476,27,46691,754
1477,27,46651,755
1478,27,46802,607
1479,27,46703,605
1480,27,46603,602
1481,27,46504,601
1482,27,30300,117
1483,27,32000,116
1484,27,37900,312
1485,27,40103,305
1486,28,38101,123
1487,28,30000,108
1488,28,30001,101
1489,28,38100,100
1490,28,32001,114
1491,28,32102,104
1492,28,34000,117
1493,28,34101,113
1494,28,34000,109
1495,28,45010,352
1496,28,41000,307
